Numéro de la tâche,Date de création de la tâche,Nom de la personne initiatrice de la tâche,Site de réalisation de la tâche,Nature de la tâche,Description de la tâche,Date de début de la tâche,Durée estimée en heure(s) ou journée(s),Nombre de personnes souhaitées,Service N°1 mandaté pour la réalisation de la tâche,Service N°2 mandaté pour la réalisation de la tâche,Service N°3 mandaté pour la réalisation de la tâche
,,,,,,,,,,,
,,,,,,,,,,,
T_P1259,46002,Hicham El Hariri,Roseraie,Entretien général,"Roseraie 8 et 12 : créer une circulation d'air dans le grenier. Retirer la grille d'évacuation dans le WC, remplacer par un extracteur et poser le tuyau d'évacuation présent dans le grenier sur l'isolation (voir Jan pour explication)",46002,,2,Vincent,,
T_P1263,46002,Hicham El Hariri,Roseraie,Entretien général,remis en état des ardoises de protection ur les murs : remplacer ou refixer,46002,,1,Vincent,,
T_P1324,46098,Hicham El Hariri,Roseraie,Entretien général,"N° 31 : Tablette lavabo cassé, envisager de la remplacer.",46098,,1,Vincent,,
T_P1335,46134,Hicham El Hariri,Roseraie,Entretien général,N° 5 : Vider l'armoire du jardin,46134,,1,Vincent,,
T_P1334,46134,Hicham El Hariri,Roseraie,Entretien général,N° 5 : -installer une barre de soutien sur le mur près de la porte d'entrée,46134,,,Vincent,,
T_P1333,46134,Hicham El Hariri,Roseraie,Entretien général,"hotte ne fonctionne pas, verifier le cblage ""les deux prises en court-circuit)",46134,,2,Vincent,,
T_P1332,46134,Hicham El Hariri,Roseraie,Entretien général,manque barre pour rideau de douche,46134,,1,Vincent,,
T_P1337,46135,Hicham El Hariri,Roseraie,Menuiserie,N° 32 : la planche de rive de la porte arrière est tombée en partie et bloque la porte du jardin.Merci,46135,,,Vincent,,
T_P1336,46135,Hicham El Hariri,Roseraie,Entretien général,N° 31 : la tablette au dessus du lavabo est tombée mais elle n'est pas cassée. Si possible de lui refixer. Merci,46135,,,Vincent,,
T_P1340,46136,Hicham El Hariri,Magasin,Jardin / extérieur,Christian : peux-tu passer la débroussailleuse et tondre la pelouse au magasin social si le temps le permet.,46136,,1,Vincent,,
T_P1339,46136,Hicham El Hariri,Roseraie,Entretien général,adrianno et Christian : au N° 32 changer la planche de rive ,46136,,2,Vincent,,
T_P1338,46136,Hicham El Hariri,Roseraie,Menuiserie,Steve : il faut découper le meuble pour faire passer le tuyau d évacuation des fumées  de la hotte + régler les portes et fixer les poignées,46136,,1,Vincent,,
T_P1172,45880,Secrétariat général,Roseraie,Jardin / extérieur,Roseraie 9 - Les dalles de terrasse bougent et sont de travers alors madame a peur de tomber. Matériel stocké à l'Arbre de Vie (12 sacs de mortier). Intervention en mars-avril 2026,46096,2,2,Vincent,,
T_P1317,46085,Stéphanie Debeil,CPAS,Entretien général,"rue J Menin : -Refixer les barres de tenture au rez-de-chaussée ainsi que dans une des chambre.
-Réparation du carrelage (crédence) de la salle de bain.",46085,,1,Vincent,,
T_P1316,46085,Stéphanie Debeil,CPAS,Entretien général,traiter les taches d'humidité et refaire le mut abimé au 114/3,46085,,1,Vincent,,
