Numéro de la tâche;Date de création de la tâche;Nom de la personne initiatrice de la tâche;Site de réalisation de la tâche;Nature de la tâche;Description de la tâche;Prochaine date pour la tâche;Durée estimée en heure(s) ou journée(s);Nombre de personnes souhaitées;Service mandaté pour la réalisation de la tâche;Journée de la semaine pour réaliser la tâche;Tâche réalisée toutes les X semaines;Journée du mois pour émettre la tâche;Tâche émise tous les X mois
;;;;;;;;;;;;;
;;;;;;;;;;;;;
T_R039;44273;Cuistots;MRS;Cuisine;Entretien périodique suivant contrat de maintenance. Le technicien devra badger (code du coffret 112233), à l'accueil de la MRS, dès son arrivée et à avant son départ, il devra également compléter une fiche de prestations mise à sa disposition,;45839;;1;Luxpro;;;1;2
T_R040;44273;Cuistots;MRS;Cuisine;Entretien périodique suivant contrat de maintenance. Le technicien devra badger (code du coffret 332211), à l'accueil de la MRS, dès son arrivée et à avant son départ, il devra également compléter une fiche de prestations mise à sa disposition;45870;;1;Pelzer;;;1;6
T_R121;46000;Hicham El Hariri;MRS;Entretien général;CPAS : Aller chercher les sacs des mops;46001;0,5;1;Entretien;Mercredi;1;;
T_R122;46076;Hicham El Hariri;MRS;Parc voitures;Merci de bien vouloir réaliser la check-list complète du parc automobile existant dans la farde. Chaque début du mois;46144;1;1;Ouvriers_CPAS;;;1;1
T_R118;45950;Hicham El Hariri;MRS;Jardin / extérieur;Entretien des tombes, voir plan;46266;2h;2;Ouvriers_CPAS;;;1;12
T_R109;45846;Hicham El Hariri;MRS;Entretien général;Entretien périodique des passerelles latérales des bureaux : nettoyage du bois à l’aide d’un nettoyeur haute pression (type Karcher), dans le cadre des mesures de sécurité.;46447;;1;Ouvriers_CPAS;;;1;12
T_R074;44635;Jan Callemeyn;MRS;Entretien général;"Lave vaisselle cuisine (Spilmont): Si besoin, enlever et nettoyer les rampes de gicleurs; vérifier le bonne état des divers filtres. (Maintenance à réaliser en dehors des plages de fonctionnement de l'appareil)";46106;3;1;Ouvriers_CPAS;;;20;6
T_R071;44503;Jan Callemeyn;MRS;Electricité;Verification du bon fonctionnement de l'ensemble des modules d'éclairage de secours de la MRS, y compris ceux des cages d'escaliers, du sous sol et en cuisine. En cas de panne (batterie) merci de réaliser une tâche ponctuelle pour Thersa en précisant le lieu du probleme.;46124;;;Ouvriers_CPAS;;;12;3
T_R002;43753;Jan Callemeyn;MRS;HVAC;Fermeture des vannes TA intégrées dans le plafond de la salle polyvalente et le couloir menant au bureau cuistots. Le réglage des vannes doit être remis sur la position 0;46127;0,5h;2;Ouvriers_CPAS;;;1;12
T_R115;45877;Jan Callemeyn;MRS;Entretien général;Niv -1: Groupe de ventilation GP5 et Niv +3 GE5: Vérifier l'état d'usure des roulements moteurs et turbines. Si une intervention est nécessaire, merci de faire une photo des plaquettes signalétiques (moteur et groupe) afin de commander les pièces. Idéalement cette vérification ne peut se faire que le mardi ou jeudi dans l'après midi.;46127;;2;Ouvriers_CPAS;;;15;6
T_R104;45401;Jan Callemeyn;MRS;Plomberie;Niv -1 , local pompes à eau, nettoyer le filtre inséré dans le conduit de sortie des pompes à eau de citerne.;46131;;1;Ouvriers_CPAS;;;20;6
