Numéro de la tâche,Date de création de la tâche,Nom de la personne initiatrice de la tâche,Site de réalisation de la tâche,Nature de la tâche,Description de la tâche,Date de début de la tâche,Durée estimée en heure(s) ou journée(s),Nombre de personnes souhaitées,Service N°1 mandaté pour la réalisation de la tâche,Service N°2 mandaté pour la réalisation de la tâche,Service N°3 mandaté pour la réalisation de la tâche
,,,,,,,,,,,
,,,,,,,,,,,
T_P1871,46093,Barry Amadou,MRS,Entretien général,"Buanderie : Soucis avec les machines à laver, notamment au niveau des programmes 2 et 8 (essorage, nettoyage, bruit par moments)",46093,,,Ouvriers_CPAS,,
T_P1870,46093,Barry Amadou,MRS,Entretien général,Chambre 30 : Store bloqué,46093,,,Ouvriers_CPAS,,
T_P1899,46120,Barry Amadou,MRS,Entretien général,"Merci d'envoyer le matériel d'entretien au CPAS demain matin.
Vous trouverez le bac à côté du séchoir, comme d'habitude.",46120,,,Ouvriers_CPAS,,
T_P1900,46128,Barry Amadou,MRS,Plomberie,Cantou LILAS : Fuite d'eau en dessous de l'évier de la cuisine (Urgent).,46128,,,Ouvriers_CPAS,,
T_P1902,46133,Barry Amadou,MRS,Entretien général,"Merci d'envoyer le matériel d'entretien au CPAS demain matin.
Vous trouverez le bac + une petite échelle à côté du séchoir, comme d'habitude.",46133,,,Ouvriers_CPAS,,
T_P1888,46107,Cuistots,MRS,Cuisine,"Four côté flexcool fuite d'eau quotidienne , merci de faire le néccesaire pour réparation. ",46107,1,1,Ouvriers_CPAS,,
T_P1804,46030,Hicham El Hariri,MRS,Entretien général,La Renault Kangoo : il y a un clou dans le pneu arrière droit.,46030,,1,Ouvriers_CPAS,,
T_P1853,46076,Hicham El Hariri,MRS,Cuisine,"Bonjour : pour une friteuse à gaz de marque SILKO, la petite flamme (veilleuse) de ta friteuse reste allumée mais que le brûleur principal ne s’allume pas quand on tournes la commande !! Est ce que c'est possible de nous envoyer un technicien car ce problème impacte vraiment la producion. Merci",46076,,,Luxpro,,
T_P1883,46100,Hicham El Hariri,MRS,Electricité,Faire la pelouse (terrases),46100,,,Ouvriers_CPAS,,
T_P1881,46100,Hicham El Hariri,MRS,Electricité,Verifier le bon fonctionnement des lecteurs badges,46100,,,Ouvriers_CPAS,,
T_P1880,46100,Hicham El Hariri,MRS,Electricité,"CH 36 : Stores bloqués, merci d'aller verifier",46100,,,Ouvriers_CPAS,,
T_P1879,46100,Hicham El Hariri,MRS,Electricité,CH 30 : Stores blqués ,46100,,,Ouvriers_CPAS,,
T_P1892,46108,Hicham El Hariri,MRS,Menuiserie,"Placer la charnière sur la porte du local ventillation au -1, merci",46108,,,Ouvriers_CPAS,,
T_P1905,46134,Hicham El Hariri,MRS,Plomberie,WC cantou boucher !!,46134,,,Ouvriers_CPAS,,
T_P1904,46134,Hicham El Hariri,MRS,Electricité,"Alex cuisine : la sous videuse ne s'allume plus, verifier l'état des fusibles",46134,,,Ouvriers_CPAS,,
