id;createdAt;theme;type;status;local;description;agent_requester;agent_assigned;urgent;recurrence
req_1777215570442;2026-04-26T22:00:00.000Z;Chauffage / Chaudière;technique;open;Maison 1;"verifier la chaudiere, test";Hugo;;;template 1/days
req_1777240800000_841h;2026-04-26T22:00:00.000Z;Serrurerie / Clés;technique;open;;test du 25/04;Hugo;;;occurrence
req_1777205434436;2026-04-26T12:10:34.436Z;Non catégorisé;technique;open;WC RDC;Planche de wc étage 1;Hugo;;oui;
req_1777154400000_3r93;2026-04-25T22:00:00.000Z;Serrurerie / Clés;technique;open;;test du 25/04;Hugo;;;occurrence
req_1777154400000_99gh;2026-04-25T22:00:00.000Z;"Plomberie (évier, toilette, fuite)";technique;in_progress;Bureau d'accueil;faire l'evier tout les jours;Hugo;;oui;occurrence
req_1777153471768;2026-04-25T21:44:31.768Z;Serrurerie / Clés;technique;in_progress;;test du 25/04;Hugo;Hugo;;template 1/days
req_1777144058407_529a;2026-04-25T19:07:38.407Z;"Plomberie (évier, toilette, fuite)";technique;open;Bureau d'accueil;faire l'evier tout les jours;Hugo;;oui;occurrence
req_1777057658407_s6jf;2026-04-24T19:07:38.407Z;"Plomberie (évier, toilette, fuite)";technique;open;Bureau d'accueil;faire l'evier tout les jours;Hugo;;oui;occurrence
req_1776971258407;2026-04-23T19:07:38.407Z;"Plomberie (évier, toilette, fuite)";technique;done;Bureau d'accueil;faire l'evier tout les jours;Hugo;;oui;template 1/days
req_1776970414787;2026-04-23T18:53:34.787Z;Thème supprimé;entretien;in_progress;;Faut vider les poubelle;Hugo;Hugo;;
req_1776935053442;2026-04-23T09:04:13.442Z;"Menuiserie (porte, fenêtre, meuble)";technique;done;Maison 13;faut faire la menuserie;Hugo;Kim;;
req_1776934805185;2026-04-23T09:00:05.185Z;"Plomberie (évier, toilette, fuite)";technique;postponed;Maison 2;coucou;Hugo;Hugo;;template 1/months
req_1776934545097;2026-04-23T08:55:45.097Z;Chauffage / Chaudière;technique;done;Maison 1;entretien;Hugo;Hugo;;template 12/months
req_1776889984291;2026-04-22T20:33:04.291Z;"Plomberie (évier, toilette, fuite)";technique;in_progress;aide generale 102;test;Hugo2_testPrupose;;;
req_1776874938346;2026-04-22T16:22:18.346Z;Chauffage / Chaudière;technique;in_progress;aide generale 102;coucou;Hugo;;;
req_1776786309746;2026-04-21T15:45:09.746Z;Chauffage / Chaudière;technique;done;Maison 14;bug chaudiere;Hugo;Hugo;;
req_1776785555218;2026-04-21T15:32:35.218Z;Espaces verts;technique;done;Local 12;Faut tondre la pelouse;Hugo;Hugo;;
req_1776785401593;2026-04-21T15:30:01.593Z;"Plomberie (évier, toilette, fuite)";technique;done;local 21;la chasse fuit;Hugo;Hugo;;
req_1776765836203;2026-04-21T10:03:56.203Z;Non catégorisé;technique;done;Local 12;la chase est casse;Hugo;Hugo;;
req_1776670642867;2026-04-20T07:37:22.867Z;Informatique / Réseau;technique;done;aide generale 101;Mon pc est casse;Hugo;Hugo;;
req_1776628783252;2026-04-19T19:59:43.252Z;Non catégorisé;technique;done;;Remplacer un robinet roseraie 5;Hugo;Hugo;;
req_1776154718976;2026-04-14T08:18:38.976Z;Peinture / Revêtement;technique;done;;sqlut mon pc est casse;Hugo;Hugo;;
